Community,Name,Centrality Measure,URI,Community Period
1,Simon Fokke,0.047,http://www.vondel.humanities.uva.nl/ecartico/persons/52372,"(1702, 1800)"
1,Casper Philips,0.043,http://www.vondel.humanities.uva.nl/ecartico/persons/36922,"(1702, 1800)"
1,"Folkema, J.",0.043,https://id.rijksmuseum.nl/31036665,"(1702, 1800)"
1,Bernard Picard,0.039,http://www.vondel.humanities.uva.nl/ecartico/persons/5980,"(1702, 1800)"
1,Jan Goeree,0.038,http://www.vondel.humanities.uva.nl/ecartico/persons/312,"(1702, 1800)"
1,Jacob Houbraken,0.035,http://www.vondel.humanities.uva.nl/ecartico/persons/10178,"(1702, 1800)"
1,Frederik Ottens,0.031,http://www.vondel.humanities.uva.nl/ecartico/persons/5810,"(1702, 1800)"
1,"Tanjé, P.",0.028,https://id.rijksmuseum.nl/310111879,"(1702, 1800)"
1,Jan Punt de Jonge,0.027,http://www.vondel.humanities.uva.nl/ecartico/persons/52346,"(1702, 1800)"
1,"Vinkeles, Reinier",0.025,https://id.rijksmuseum.nl/310139069,"(1702, 1800)"
1,Jacobus Schijnvoet,0.025,http://www.vondel.humanities.uva.nl/ecartico/persons/6666,"(1702, 1800)"
1,"Bogerts, C.",0.024,https://id.rijksmuseum.nl/31012373,"(1702, 1800)"
1,Jacob Folkema,0.024,http://www.vondel.humanities.uva.nl/ecartico/persons/8713,"(1702, 1800)"
1,Frans van Bleyswyck,0.021,http://www.vondel.humanities.uva.nl/ecartico/persons/66,"(1702, 1800)"
1,Cornelis Pronk,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/8862,"(1702, 1800)"
1,"Bakker, F. de",0.017,https://id.rijksmuseum.nl/3105345,"(1702, 1800)"
1,"Philips, J. C.",0.016,https://id.rijksmuseum.nl/310139192,"(1702, 1800)"
1,"Schley, J. van",0.015,https://id.rijksmuseum.nl/310101932,"(1702, 1800)"
1,Adolf van der Laan,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/4413,"(1702, 1800)"
1,P. van Liender,0.014,http://data.bibliotheken.nl/id/thes/p089364805,"(1702, 1800)"
1,"Liender, Paulus van",0.014,https://id.rijksmuseum.nl/310140690,"(1702, 1800)"
1,Jan Beijer,0.014,http://www.vondel.humanities.uva.nl/ecartico/persons/14528,"(1702, 1800)"
1,Johannes Lamsvelt de jonge,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/4457,"(1702, 1800)"
1,Michiel Elgersma,0.012,http://www.vondel.humanities.uva.nl/ecartico/persons/22489,"(1702, 1800)"
1,Arnold Boonen,0.012,http://www.vondel.humanities.uva.nl/ecartico/persons/79,"(1702, 1800)"
1,"Ruyter, Jan",0.011,https://id.rijksmuseum.nl/31099146,"(1702, 1800)"
1,Abraham Zeeman,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/26622,"(1702, 1800)"
1,"Vlaaming, J. de",0.009,https://id.rijksmuseum.nl/310140687,"(1702, 1800)"
1,"Schouten, H.",0.009,https://id.rijksmuseum.nl/310140688,"(1702, 1800)"
1,"Schoute, H.",0.009,https://id.rijksmuseum.nl/310102973,"(1702, 1800)"
1,"Keur, N.",0.009,https://id.rijksmuseum.nl/310140691,"(1702, 1800)"
1,Jan Wandelaar,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/13878,"(1702, 1800)"
1,"Dyk, P. R. van",0.009,https://id.rijksmuseum.nl/310140692,"(1702, 1800)"
1,"Coppier, de",0.009,https://id.rijksmuseum.nl/310140693,"(1702, 1800)"
1,Matthys Balen,0.009,http://www.vondel.humanities.uva.nl/ecartico/persons/26,"(1702, 1800)"
1,"Fokke, Jan",0.009,https://id.rijksmuseum.nl/31036628,"(1702, 1800)"
1,"Diamaer, H.F.",0.009,https://id.rijksmuseum.nl/31028617,"(1702, 1800)"
1,"Burg, A. van den",0.009,https://id.rijksmuseum.nl/31017235,"(1702, 1800)"
1,"Meer, Noach van der (jr.)",0.008,https://id.rijksmuseum.nl/31075522,"(1702, 1800)"
1,Aert Schouman,0.008,http://www.vondel.humanities.uva.nl/ecartico/persons/52482,"(1702, 1800)"
1,"Troost, K.",0.007,https://id.rijksmuseum.nl/310141583,"(1702, 1800)"
1,"Sibelius, J.",0.007,https://id.rijksmuseum.nl/310141444,"(1702, 1800)"
1,"Oltens, F.",0.007,https://id.rijksmuseum.nl/310141585,"(1702, 1800)"
1,"Morellon la Cave, F.",0.007,https://id.rijksmuseum.nl/31079276,"(1702, 1800)"
1,"Folkema, S.",0.007,https://id.rijksmuseum.nl/310141582,"(1702, 1800)"
1,"Dyck, Ph. van",0.007,https://id.rijksmuseum.nl/310141584,"(1702, 1800)"
1,Claude Duflos,0.007,http://www.vondel.humanities.uva.nl/ecartico/persons/17019,"(1702, 1800)"
1,Jan Fokke,0.006,http://data.bibliotheken.nl/id/thes/p070441812,"(1702, 1800)"
1,Jacobus van der Schley,0.006,http://data.bibliotheken.nl/id/thes/p069754454,"(1702, 1800)"
1,Pieter Anthonisz. Barbiers,0.006,http://www.vondel.humanities.uva.nl/ecartico/persons/10461,"(1702, 1800)"
1,Myndert de Boer,0.006,http://data.bibliotheken.nl/id/thes/p110583841,"(1702, 1800)"
1,Jacobus Buys,0.006,http://data.bibliotheken.nl/id/thes/p091493323,"(1702, 1800)"
1,Jacob Polley,0.006,http://data.bibliotheken.nl/id/thes/p072535938,"(1702, 1800)"
1,"Vuuren, Cornelis van",0.005,https://id.rijksmuseum.nl/310119793,"(1702, 1800)"
1,Simon Thomassin,0.005,http://www.vondel.humanities.uva.nl/ecartico/persons/52471,"(1702, 1800)"
1,"Polly, Jacob",0.005,https://id.rijksmuseum.nl/31091402,"(1702, 1800)"
1,"Natrus, Leendert van",0.005,https://id.rijksmuseum.nl/31082868,"(1702, 1800)"
1,"Maatschoen, Gerardus",0.005,https://id.rijksmuseum.nl/31071464,"(1702, 1800)"
1,Johan (van) Huchtenburg,0.005,http://www.vondel.humanities.uva.nl/ecartico/persons/3920,"(1702, 1800)"
1,Jean Rousset de Missy,0.005,http://data.bibliotheken.nl/id/thes/p068414811,"(1702, 1800)"
1,Jean Du Mont,0.005,http://data.bibliotheken.nl/id/thes/p069932905,"(1702, 1800)"
1,"Huisinga Bakker, Pieter",0.005,https://id.rijksmuseum.nl/310141736,"(1702, 1800)"
1,Gerrit Schoemaker,0.005,http://data.bibliotheken.nl/id/thes/p074036874,"(1702, 1800)"
1,Gerardus Maatschoen,0.005,http://data.bibliotheken.nl/id/thes/p07322006X,"(1702, 1800)"
1,"Coster, D.",0.005,https://id.rijksmuseum.nl/31024347,"(1702, 1800)"
1,Cornelis van Vuuren,0.005,http://data.bibliotheken.nl/id/thes/p068741855,"(1702, 1800)"
1,"Buisen, A. v.",0.005,https://id.rijksmuseum.nl/31016972,"(1702, 1800)"
1,"Bernarts, B.",0.005,https://id.rijksmuseum.nl/3109451,"(1702, 1800)"
1,Aved,0.005,https://id.rijksmuseum.nl/310140135,"(1702, 1800)"
1,Adriaan Spinniker,0.005,http://www.vondel.humanities.uva.nl/ecartico/persons/56346,"(1702, 1800)"
1,"Surugue, L.",0.004,https://id.rijksmuseum.nl/310111095,"(1702, 1800)"
1,Miguel de Cervantes y Saavedra,0.004,http://data.bibliotheken.nl/id/thes/p068443854,"(1702, 1800)"
1,"Man, A. de",0.004,https://id.rijksmuseum.nl/310141617,"(1702, 1800)"
1,"Jeaurat, E.",0.004,https://id.rijksmuseum.nl/31056511,"(1702, 1800)"
1,Jacob Campo Weyerman,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/8236,"(1702, 1800)"
1,"Fonbonne, Q.",0.004,https://id.rijksmuseum.nl/31036696,"(1702, 1800)"
1,"Dam, A. van",0.004,https://id.rijksmuseum.nl/310140499,"(1702, 1800)"
1,Charles-Antoine Coypel,0.004,http://data.bibliotheken.nl/id/thes/p068201559,"(1702, 1800)"
1,"Besoet, J.",0.004,https://id.rijksmuseum.nl/3109867,"(1702, 1800)"
1,Abraham Moubach,0.004,http://www.vondel.humanities.uva.nl/ecartico/persons/46207,"(1702, 1800)"
1,"Verstegen, Richard",0.003,https://id.rijksmuseum.nl/310117960,"(1702, 1800)"
1,Richard Verstegen,0.003,http://data.bibliotheken.nl/id/thes/p071348824,"(1702, 1800)"
1,"Pothoven, Hendrik",0.003,https://id.rijksmuseum.nl/31091926,"(1702, 1800)"
1,Pieter Claesz. Soutman,0.003,http://www.vondel.humanities.uva.nl/ecartico/persons/6972,"(1702, 1800)"
1,"Philips, P.",0.003,https://id.rijksmuseum.nl/31089860,"(1702, 1800)"
1,"Kondet, G.",0.003,https://id.rijksmuseum.nl/31062011,"(1702, 1800)"
