Community 1 - Period: (1702 - 1800 - Number of books: 123
Name;URI;Begin;End
Antiquitates Belgicæ, of Nederlandsche oudtheden.;http://data.bibliotheken.nl/id/nbt/p303344563;1700;1700
Nederlands displegtigheden, vertoonende de plegtige gebruiken aan den dis [...] onder de [...] ingezetenen der Nederlanden, weleer gebruikelyk.;http://data.bibliotheken.nl/id/nbt/p224237233;1732;1732
Traité de l'architecture civile a l'usage des ingenieurs.;http://data.bibliotheken.nl/id/nbt/p198676182;1740;1740
Alle de rym-oeffeningen.;http://data.bibliotheken.nl/id/nbt/p398133867;1726;1726
Les principales avantures de l'admirable Don Quichotte, repréntées en figures [...] avec les explications des XXXI planches [...] tirées de l'original espagnol de Miguel de Cervantes.;http://data.bibliotheken.nl/id/nbt/p22986404X;1746;1746
Batavische out-heeden, met de verhandeling over de drie uytloopen van den Rhyn.;http://data.bibliotheken.nl/id/nbt/p290836484;1719;1719
Haarlemmer-meer-boek. Of Beschryving, hoe men de Haarlemmer en Leytse-meer bedyken en droog maken zal.;http://data.bibliotheken.nl/id/nbt/p292659717;1764;1764
"Frederik de rechtvaardige; tooneelspel.";http://data.bibliotheken.nl/id/nbt/p170611612;1781;1781
Amstellandsche Arkadia, of Beschryving van de gelegenheit, toestant en gebeurtenissen van Amstellandt.;http://data.bibliotheken.nl/id/nbt/p180216414;1737;1737
Elémens de la philosophie de Neuton, mis à la portée de tout le monde.;http://data.bibliotheken.nl/id/nbt/p194918874;1738;1738
David. In twaalf boeken.;http://data.bibliotheken.nl/id/nbt/p191759783;1768;1768
Reize rondsom de werreld, gedaan in de jaaren 1740 tot 1744.;http://data.bibliotheken.nl/id/nbt/p185313248;1748;1748
Dicht- en zedekundige zinnebeelden en bespiegelingen.;http://data.bibliotheken.nl/id/nbt/p174218176;1770;1770
Nieuwe atlas, van de voornaamste gebouwen en gezigten der stad Amsterdam.;http://data.bibliotheken.nl/id/nbt/p167743317;1783;1783
Oorlogskundige beschryving van de veldslagen [...] der drie [...] krygsoversten [...] den prins Eugenius van Savoye, den prins en hertog van Marlborough, en den prins van Oranje- en Nassau-Vriesland.;http://data.bibliotheken.nl/id/nbt/p229719554;1729;1729
Fabelen voor de Nederlandsche jeugd.;http://data.bibliotheken.nl/id/nbt/p18960154X;1792;1792
Oeuvres.;http://data.bibliotheken.nl/id/nbt/p304807923;1755;1755
"Tafereelen, geschilderd door Gerard de Lairesse, in de raadkamer van den hove van justitie van Holland, Zeeland, en Westvriesland; volgens de afteekeningen van Nikolaas Verkolje [...] in't koper gebragt [...]";http://data.bibliotheken.nl/id/nbt/p224248790;1737;1737
Noordhollandsche Arkadia.;http://data.bibliotheken.nl/id/nbt/p185447996;1732;1732
Zederyke zinnebeelden der tonge.;http://data.bibliotheken.nl/id/nbt/p182277984;1716;1716
Lykzangen, ter gedachtenisse van den beroemden dichter [...] Sybrand Feitama;http://data.bibliotheken.nl/id/nbt/p183100379;1758;1758
Amsterdamsche buitensingel, nevens de omleggende dorpen, opgeheldert door aanteekeningen, over veele voornaame geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p183107845;1738;1738
Beschryving van 'sGraven-hage.;http://data.bibliotheken.nl/id/nbt/p306159686;1739;1739
Atlas van Zeeland.;http://data.bibliotheken.nl/id/nbt/p185421199;1760;1760
Verzameling van beelden, groepen [...] en andere pragtige cieradien van het koninglyke paleys en park van Versailles.;http://data.bibliotheken.nl/id/nbt/p229913040;1723;1723
Het groot natuur- en zedekundigh werelttoneel of Woordenboek van meer dan 1200 aeloude Egiptische, Grieksche en Romeinsche zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p14162843X;1743;1743
Amsterdamsche buitensingel nevens de omleggende dorpen, opgeheldert door aantekeningen over veele voornaame geschiedeniszen.;http://data.bibliotheken.nl/id/nbt/p17153283X;1723;1723
Tapisseries de son altesse royale monseigneur le duc d'Orleans, representant l'histoire de Meleagre, decrite au 8. livre des metamorphoses d'Ovide.;http://data.bibliotheken.nl/id/nbt/p305657364;1714;1714
Krispyn, medicyn. Blyspel.;http://data.bibliotheken.nl/id/nbt/p172718015;1738;1738
Oldenbarneveld, treurspel.;http://data.bibliotheken.nl/id/nbt/p183282639;1787;1787
Reineke der Fuchs.;http://data.bibliotheken.nl/id/nbt/p298367688;1752;1752
Geschiedenissen der Vereenigde Nederlanden, sedert [...] 1714 tot aan de dood van [...] den heere prinse van Oranje en Nassau [...] in [...] 1751 [...]. Om tot een vervolg te dienen op de Geschiedenissen der Vereenigde Nederlanden van [...] Jean Le Clerc.;http://data.bibliotheken.nl/id/nbt/p18107530X;1753;1753
P.J. Beronicii Georgarchontomachia, cæterorumque ejus carminum sylvula [...].;http://data.bibliotheken.nl/id/nbt/p150955081;1766;1766
Lyk-staetsie van zyne doorluchtigste hoogheid [...] Willem Carel Hendrik Friso, prince van Orange en Nassau.;http://data.bibliotheken.nl/id/nbt/p24030165X;1755;1755
Het zedelijk tooneel, bevattende eenige der beste zedelijke tooneelspelen.;http://data.bibliotheken.nl/id/nbt/p297781995;1792;1792
Historie van den nieuwen Amsterdamschen schouwburg;http://data.bibliotheken.nl/id/nbt/p188852816;1775;1775
Naaukeurige beschryving der uitwendige godtsdienst-plichten, kerk-zeden en gewoontens van alle volkeren der waereldt.;http://data.bibliotheken.nl/id/nbt/p191420778;1727;1727
Alkmaer en deszelfs geschiedenissen uit de nagelatene papieren van Simon Eikelenberg [...] beschreven.;http://data.bibliotheken.nl/id/nbt/p227110293;1747;1747
Gedichten.;http://data.bibliotheken.nl/id/nbt/p176866876;1738;1738
De bruiloft van Kloris en Roosje, kluchtspel.;http://data.bibliotheken.nl/id/nbt/p172933153;1743;1743
Dichtkundige zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p303276924;1736;1736
De honderd vyftig psalmen van den propheet David.;http://data.bibliotheken.nl/id/nbt/p189659289;1749;1749
Lexicon hieroglyphicum sacro-profanum, of Woordboek van gewyde en ongewyde voor- en zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p149057040;1722;1722
