Community,Name,Centrality Measure,URI,Community Period
1,Bernard Picard,0.03,http://www.vondel.humanities.uva.nl/ecartico/persons/5980,"(1669, 1775)"
1,Jan Goeree,0.028,http://www.vondel.humanities.uva.nl/ecartico/persons/312,"(1669, 1775)"
1,Hermanus Uytwerf,0.027,http://www.vondel.humanities.uva.nl/ecartico/persons/38702,"(1669, 1775)"
1,Romeyn de Hooghe,0.027,http://www.vondel.humanities.uva.nl/ecartico/persons/3839,"(1669, 1775)"
1,Jan van Vianen,0.022,http://www.vondel.humanities.uva.nl/ecartico/persons/7838,"(1669, 1775)"
1,Frederik Ottens,0.021,http://www.vondel.humanities.uva.nl/ecartico/persons/5810,"(1669, 1775)"
1,Rudolf Wetstein,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/25375,"(1669, 1775)"
1,Jan Luyken,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/4766,"(1669, 1775)"
1,Jacob (de) Wetstein,0.02,http://www.vondel.humanities.uva.nl/ecartico/persons/38421,"(1669, 1775)"
1,Jacobus Schijnvoet,0.018,http://www.vondel.humanities.uva.nl/ecartico/persons/6666,"(1669, 1775)"
1,Mattheus Brouërius van Nidek,0.017,http://www.vondel.humanities.uva.nl/ecartico/persons/40356,"(1669, 1775)"
1,"Hondt, Pieter de",0.017,http://data.bibliotheken.nl/id/thes/p136336922,"(1669, 1775)"
1,Gilliam van der Gouwen,0.017,http://www.vondel.humanities.uva.nl/ecartico/persons/3309,"(1669, 1775)"
1,William Smith,0.016,http://www.vondel.humanities.uva.nl/ecartico/persons/46398,"(1669, 1775)"
1,Frans van Bleyswyck,0.016,http://www.vondel.humanities.uva.nl/ecartico/persons/66,"(1669, 1775)"
1,Zacharias Chatelain (II),0.016,http://www.vondel.humanities.uva.nl/ecartico/persons/39355,"(1669, 1775)"
1,Pieter Mortier II,0.016,http://www.vondel.humanities.uva.nl/ecartico/persons/13603,"(1669, 1775)"
1,Pierre Humbert,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/38058,"(1669, 1775)"
1,Pierre Brunel,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/30953,"(1669, 1775)"
1,Andries van Buysen,0.015,http://www.vondel.humanities.uva.nl/ecartico/persons/134,"(1669, 1775)"
1,Johannes Covens,0.014,http://www.vondel.humanities.uva.nl/ecartico/persons/39227,"(1669, 1775)"
1,Cornelis Mortier,0.014,http://www.vondel.humanities.uva.nl/ecartico/persons/39223,"(1669, 1775)"
1,"Baptist, Jac.",0.014,https://id.rijksmuseum.nl/3105857,"(1669, 1775)"
1,Antoine van Dole,0.014,http://www.vondel.humanities.uva.nl/ecartico/persons/54225,"(1669, 1775)"
1,Petrus Schenck I,0.014,http://www.vondel.humanities.uva.nl/ecartico/persons/6639,"(1669, 1775)"
1,"Gosse, Pierre",0.014,http://data.bibliotheken.nl/id/thes/p136057608,"(1669, 1775)"
1,Johan Jacobsz van den Aveele,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/655,"(1669, 1775)"
1,François Changuion,0.013,http://www.vondel.humanities.uva.nl/ecartico/persons/38059,"(1669, 1775)"
1,Maria Pasmoy,0.012,http://www.vondel.humanities.uva.nl/ecartico/persons/39503,"(1669, 1775)"
1,François Chartre l'Honoré,0.012,http://www.vondel.humanities.uva.nl/ecartico/persons/39362,"(1669, 1775)"
1,"Sluyter, P.",0.011,https://id.rijksmuseum.nl/310106343,"(1669, 1775)"
1,"Vaillant, Isaac",0.011,http://data.bibliotheken.nl/id/thes/p137127391,"(1669, 1775)"
1,Lourens Scherm,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/6656,"(1669, 1775)"
1,Gerard Wetstein,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/25374,"(1669, 1775)"
1,David van Hoogstraten,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/10555,"(1669, 1775)"
1,Willem van de Water (I),0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/43046,"(1669, 1775)"
1,Pieter Boudewijnsz. van der Aa,0.011,http://www.vondel.humanities.uva.nl/ecartico/persons/10567,"(1669, 1775)"
