Community 1 - Period: (1669 - 1775 - Number of books: 310
Name;URI;Begin;End
Bloemkrans van christelyke liefde- en zeededichten.;http://data.bibliotheken.nl/id/nbt/p182867498;1714;1714
Hondert vyf en vyftig bybelsche print verbeeldingen, vertoonende de voornaamste historien der H: Schriftuur.;http://data.bibliotheken.nl/id/nbt/p296910597;1736;1736
Beschryving van 'sGraven-hage.;http://data.bibliotheken.nl/id/nbt/p306159686;1739;1739
Beschryving der sieraaden van het tooneel [...] in het Beleg en ontzet van Leiden.;http://data.bibliotheken.nl/id/nbt/p303803525;1729;1729
Antiquitates Belgicæ, of Nederlandsche oudtheden.;http://data.bibliotheken.nl/id/nbt/p303344563;1700;1700
La celebre ville d'Amsterdam, representée dans toute sa splendeur et sa magnificence [...].;http://data.bibliotheken.nl/id/nbt/p146535952;1700;1799
Alle de werken.;http://data.bibliotheken.nl/id/nbt/p186163673;1704;1704
"Schatkamer der Nederlandsche oudheden; of Woordenboek, behelzende Nederlands steden.";http://data.bibliotheken.nl/id/nbt/p161821278;1774;1774
Onpartydig chronyxken der voornaamste Nederlandsche geschiedenissen, zoo kerkelyk als politycq, t'zedert den jare 1600;http://data.bibliotheken.nl/id/nbt/p226761061;1730;1730
Korte schets of denkbeeld om tot een groote volmaaktheid in de schilderkonst te geraken.;http://data.bibliotheken.nl/id/nbt/p261793098;1742;1742
Recueil de divers ouvrages sur la peinture et le coloris.;http://data.bibliotheken.nl/id/nbt/p161487270;1767;1767
Dits die excellente cronike vā vlaenderē beghinnende vā Liederick Buc den eersten forestier tot dē laetstē, die door haer vrome feytē, namaels grauē vā Vlaendrē ghemaect wordē.;http://data.bibliotheken.nl/id/nbt/p399557253;1531;1531
Biblia, dat is De gantsche H. Schrifture, vervattende alle de canonijcke boecken des Ouden en des Nieuwen estaments;http://data.bibliotheken.nl/id/nbt/p399539085;1731;1731
Architectura civilis, of Naauwkeurige ontwerpen [...] van [...] kap-werken, van huizen.;http://data.bibliotheken.nl/id/nbt/p260553506;1770;1770
"Verzameling van uitgelezene keurstoffen; handelende over den godsdienst, natuur- schilder- teken- oudheid- redeneer- en dichtkunde.";http://data.bibliotheken.nl/id/nbt/p303364459;1713;1713
Description de la fameuse ville d'Amsterdam.;http://data.bibliotheken.nl/id/nbt/p394099974;1740;1749
Fabularum Æsopiarum libri V.;http://data.bibliotheken.nl/id/nbt/p184273005;1701;1701
Dichtlievende uitspanningen.;http://data.bibliotheken.nl/id/nbt/p171537734;1710;1710
Huwelyks zangen, ter bruilofte van [...] Willem Hendrik s'Jacob [...] met [...] Anna Vroom;http://data.bibliotheken.nl/id/nbt/p394150740;1755;1755
Batavische out-heeden, met de verhandeling over de drie uytloopen van den Rhyn.;http://data.bibliotheken.nl/id/nbt/p290836484;1719;1719
Verhandeling van de oude orakelen der heydenen.;http://data.bibliotheken.nl/id/nbt/p823068498;1687;1687
Nieuwe beproefde en wel ondersochte genees-middelen ofte zeltsame verborgentheden.;http://data.bibliotheken.nl/id/nbt/p841208123;1680;1680
Spiegel om wel te sterven.;http://data.bibliotheken.nl/id/nbt/p325709726;1694;1699
Aeloude en hedendaegsche scheeps-bouw en bestier.;http://data.bibliotheken.nl/id/nbt/p853708711;1671;1671
Grondlegginge ter[!] teekenkonst.;http://data.bibliotheken.nl/id/nbt/p170248194;1701;1701
Hollandsche scheepsbouw: waer in vertoont wert hoedanigh alle scheepstouwen en andere deelen in een volmaeckt schip geplaetst zijn.;http://data.bibliotheken.nl/id/nbt/p841124264;1678;1678
Eeuwige gedagtenisse ter bruyloft van [...] Henry Samuel Crommelin, en [...] Jacoba Sophia van Wickevoort. Mitgaders [...] Abraham Beek, en [...] Maria Elisabeth van Wickevoort;http://data.bibliotheken.nl/id/nbt/p395471338;1697;1697
De godlievende ziel vertoont in zinnebeelden.;http://data.bibliotheken.nl/id/nbt/p243096852;1724;1724
De koninglycke hovenier aanwyzende de middelen om boomen, bloemen en kruyden, te zaayen [...] en voort teelen.;http://data.bibliotheken.nl/id/nbt/p096345756;1680;1689
Icon membranæ vasculosæ ad infima acetabuli ossium innominatorum positæ, ex puero desumtæ.;http://data.bibliotheken.nl/id/nbt/p203505131;1738;1738
Geschiedenis van Engeland.;http://data.bibliotheken.nl/id/nbt/p355574845;1735;1735
't Lust-hof van Momus, beginnende met de voornaamste gewassen van Mars in Europa.;http://data.bibliotheken.nl/id/nbt/p400955725;1710;1719
Alle de werken.;http://data.bibliotheken.nl/id/nbt/p843242159;1700;1700
"De vermomde minnaar; blyspel.";http://data.bibliotheken.nl/id/nbt/p183937155;1714;1714
Hollands Arcadia, of de vermaarde rivier den Amstel [...].;http://data.bibliotheken.nl/id/nbt/p184612659;1730;1730
Verligterie-kunde, of regt gebruik der water-verwen.;http://data.bibliotheken.nl/id/nbt/p26007263X;1705;1705
Le grand dictionaire historique, ou Le mêlange curieux de l'histoire sacrée et profane.;http://data.bibliotheken.nl/id/nbt/p226583236;1740;1740
Elémens de la philosophie de Neuton, mis à la portée de tout le monde.;http://data.bibliotheken.nl/id/nbt/p194918874;1738;1738
De levens-beschryvingen der Nederlandsche konst-schilders en konst-schilderessen.;http://data.bibliotheken.nl/id/nbt/p151818983;1729;1729
Oorspronkelyk en vermaard konstryk tekenboek.;http://data.bibliotheken.nl/id/nbt/p184218608;1740;1740
Beschryving van oud en niew Rome.;http://data.bibliotheken.nl/id/nbt/p187658242;1704;1704
Les forces de l'Europe, Asie, Afrique et Amerique, ou Description des principales villes avec leurs fortifications.;http://data.bibliotheken.nl/id/nbt/p40095687X;1702;1702
De zes reizen.;http://data.bibliotheken.nl/id/nbt/p84080718X;1682;1682
Tapisseries de son altesse royale monseigneur le duc d'Orleans, representant l'histoire de Meleagre, decrite au 8. livre des metamorphoses d'Ovide.;http://data.bibliotheken.nl/id/nbt/p305657364;1714;1714
De roomse moogentheid, bevat in een naawkeurige beschriiving van de magt en heerschappy der oude Roomse keizeren.;http://data.bibliotheken.nl/id/nbt/p262018020;1706;1706
"Schatkamer der Nederlandsse[!] oudheden; of Woordenboek, behelsende Nederlands steden.";http://data.bibliotheken.nl/id/nbt/p170140199;1711;1711
"Nederlantze Hesperides, dat is, Oeffening en gebruik van de limoen- en oranjeboomen; gestelt na den aardt, en climaat der Nederlanden.";http://data.bibliotheken.nl/id/nbt/p096343923;1676;1676
