Community 1 - Period: (1706 - 1802 - Number of books: 79
Name;URI;Begin;End
De groote schouburgh der Nederlantsche konstschilders en schilderessen.;http://data.bibliotheken.nl/id/nbt/p189094699;1718;1718
Bloemkrans van christelyke liefde- en zeededichten.;http://data.bibliotheken.nl/id/nbt/p182867498;1714;1714
Beschryving van 'sGraven-hage.;http://data.bibliotheken.nl/id/nbt/p306159686;1739;1739
De levens-beschryvingen der Nederlandsche konst-schilders en konst-schilderessen.;http://data.bibliotheken.nl/id/nbt/p151818983;1729;1729
Verzameling der fraaiste gezigten van Amsterdam;http://data.bibliotheken.nl/id/nbt/p169870162;1782;1782
Godvrugtige leidsman, aanwyzende de weg ten hemel, door oeffeningen en gebeden, en de kleine getyden van de H. maagd Maria.;http://data.bibliotheken.nl/id/nbt/p314069852;1700;1799
Lykzangen, ter gedachtenisse van den beroemden dichter [...] Sybrand Feitama;http://data.bibliotheken.nl/id/nbt/p183100379;1758;1758
Stichtelyke zinnebeelden gepast op deugden en ondeugden, in LVII tafereelen.;http://data.bibliotheken.nl/id/nbt/p163299439;1723;1723
Gebouwen, gezigten, en oudheden der stad Amsterdam;http://data.bibliotheken.nl/id/nbt/p160656494;1736;1736
De nieuwe schouburg der Nederlantsche kunstschilders en schilderessen.;http://data.bibliotheken.nl/id/nbt/p237291797;1750;1750
Impostures innocentes, ou recueil d'estampes d'apres divers peintres [...] par Bernard Picart [...] avec son elogue historique et le catalogue de ses ouvrages;http://data.bibliotheken.nl/id/nbt/p304432008;1734;1734
Keten der bybelsche geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p174218443;1766;1766
Beschryving der Nederlandsche historipenningen: of beknopt verhaal van 'tgene sedert [...] koning Philips [...] tot het sluyten van den Uytrechtschen vreede, in de zeventien Nederlandsche gewesten is voorgevallen.;http://data.bibliotheken.nl/id/nbt/p224242636;1723;1723
Amsterdam, in zyne opkomst, aanwas, geschiedenissen.;http://data.bibliotheken.nl/id/nbt/p187660123;1760;1760
